name,url,remote_testing,adaptive,duration,test_types,description,downloads
C Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new/,Yes,No,10 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of C programming basics, functions, arrays, composed data types, and advanced C concepts like SLF, file handling and dynamic memory.",Product Fact Sheet: https://service.shl.com/docs/C Programming (New).pdf
C# Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4039/,Yes,No,9 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of C# programming structure, functions, collections, enumeration, exception handling, OOPs constructs, inheritance, event handling and operator overloading.",Fact Sheet: https://service.shl.com/docs/Csharp Programming (New).pdf | Sample Report: https://service.shl.com/docs/C# Programming (New) Sample Report.pdf
C++ Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4122/,Yes,No,10 minutes,Knowledge & Skills,Multi-choice test that measures the knowledge of programming in the C++ language and the ability to use the C++ standard library to write code.,Product Fact Sheet: https://service.shl.com/docs/C%2B%2B Programming (New).pdf
Cardiology and Diabetes Management (New),https://www.shl.com/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/,Yes,No,4 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of how to control and manage cardiovascular diseases and diabetes, and understanding of the diagnostic tests used for them.",Product Fact Sheet: https://service.shl.com/docs/Cardiology and Diabetes Management (New).pdf
Ceramic Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/ceramic-engineering-new/,Yes,No,12 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of classification of ceramic materials, production of ceramics and thermodynamics.",Product Fact Sheet: https://service.shl.com/docs/Ceramic Engineering (New).pdf
Chemical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/chemical-engineering-new/,Yes,No,13 minutes,Knowledge & Skills,"Multi-choice test that measures the conceptual knowledge of transport phenomena, chemical process engineering and technology, chemical process principles, stoichiometry and process calculations.",Product Fact Sheet: https://service.shl.com/docs/Chemical Engineering (New).pdf | Sample Report: https://service.shl.com/docs/SHL Chemical Engineering (New) Sample Report.pdf
Cisco AppDynamics (New),https://www.shl.com/solutions/products/product-catalog/view/cisco-appdynamics-new/,Yes,No,9 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of application analytics, performance management, and AppDynamics essentials like controller UI, custom dashboard, reports and monitoring.",Product Fact Sheet: https://service.shl.com/docs/Cisco AppDynamics (New).pdf
Civil Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/civil-engineering-new/,Yes,No,10 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of structural engineering, transportation engineering, surveying, geotechnical engineering and water resources engineering.",Product Fact Sheet: https://service.shl.com/docs/Civil Engineering (New).pdf | Sample Report: https://service.shl.com/docs/SHL Civil Engineering (New) Sample Report.pdf
Cloud Computing (New),https://www.shl.com/solutions/products/product-catalog/view/cloud-computing-new/,Yes,No,8 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of cloud computing concepts, cloud service models, virtualization and private clouds.",Product Fact Sheet: https://service.shl.com/docs/Cloud Computing (New).pdf
COBOL Programming (New),https://www.shl.com/solutions/products/product-catalog/view/cobol-programming-new/,Yes,No,10 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of COBOL programming fundamentals, programming structure and different types of application processing.",Product Fact Sheet: https://service.shl.com/docs/COBOL Programming (New).pdf
Computer Science (New),https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/,Yes,No,12 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of operating system, computer architecture, DBMS and basics of computer networks and communication.",Product Fact Sheet: https://service.shl.com/docs/Computer Science (New).pdf | Sample Report: https://service.shl.com/docs/SHL Computer Science (New) Sample Report.pdf
Contact Center Call Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/contact-center-call-simulation-new/,Yes,No,15 minutes,Simulations,Simulation based test that measures the ability to handle customer concerns over a call by referring to standard process documents. It also measures typing and documentation skills.,Product Fact Sheet: https://service.shl.com/docs/Contact Center Call Simulation (New).pdf | Sample Report: https://service.shl.com/docs/SampleReport_ContactCenterCallSimulation_20302142.pdf
Conversational Multichat Simulation,https://www.shl.com/solutions/products/product-catalog/view/conversational-multichat-simulation/,Yes,No,11 minutes,Simulations,"This is a simulation-based test that measures the ability to handle customer concerns over multiple chats by referring to standard process documents. It provides an open-ended chat environment that assesses the candidate’s skills in a real job setting. Candidates are scored based on whether they resolved the customer’s query, the amount of time taken, and the correct use of vocabulary and grammar in their response.",Fact Sheet: https://service.shl.com/docs/Conversational Multichat Simulation Product Fact Sheet.pdf | Sample Report: https://service.shl.com/docs/Conversational Multichat Simulation Report US English.pdf
Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,Yes,No,13 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, files and exception handling, and advanced Java concepts like generics, collections, threads, strings and concurrency.",Product Fact Sheet: https://service.shl.com/docs/Core Java (Advanced Level) (New).pdf
Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,Yes,No,13 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of basic Java constructs, OOP concepts, file handling, exception handling, threads, generic class and inner class.",Product Fact Sheet: https://service.shl.com/docs/Core Java (Entry Level) (New).pdf
Count Out The Money,https://www.shl.com/solutions/products/product-catalog/view/count-out-the-money/,Yes,Yes,5 minutes,"Knowledge & Skills, Simulations",The Count out the Money –US test measures a candidate’s money handling ability. This test is designed for entry-level positions where handling money is required on a regular basis.,Product Fact Sheet (UK): https://service.shl.com/docs/Fact Sheet_Count out the Money - UK.pdf | Product Fact Sheet (US): https://service.shl.com/docs/Fact Sheet_Count out the Money - US.pdf | Product Fact Sheet (AUS): https://service.shl.com/docs/Fact Sheet_Count out the Money - AUS.pdf
CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,Yes,No,8 minutes,Knowledge & Skills,Multi-choice test that measures the knowledge of CSS3 and its application in providing style to web documents.,Product Fact Sheet: https://service.shl.com/docs/CSS3 (New).pdf
Culinary Skills (New),https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/,Yes,No,7 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of cooking principles, cooking equipment, meal preparation and presentation, and kitchen safety.",Product Fact Sheet: https://service.shl.com/docs/Culinary Skills (New).pdf
Customer Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation/,Yes,No,20 minutes,"Biodata & Situational Judgement, Simulations","As part of Contact Center Simulations, the Customer Service Phone Simulation is designed for entry-level positions in a contact center environment. Sample tasks for these jobs include: verify the customer or account; take ownership of customer issues; interact with customers to provide information; respond positively to difficult, irate, or confused customers; listen attentively to callers; resolve calls in a timely manner; navigate within multiple information menus to view customer account details and process information; and type information quickly and accurately. Potential job titles that use this solution are: Call Center Representative, Contact Center Representative, Contact Center Agent, Customer Service Agent, Customer Service Representative, and Customer Advocate.
""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""",Detailed Report: https://service.shl.com/docs/CustomerServicePhoneSimulation_DetailedReport_UKE.pdf | Sample Report (Development): https://service.shl.com/docs/CustomerServicePhoneSimulation_DevelopmentReport_UKE.pdf | Interview Report: https://service.shl.com/docs/CustomerServicePhoneSimulation_InterviewReport_UKE.pdf | Detailed Report: https://service.shl.com/docs/Sample Report- Customer Service Phone Simulation- Detailed Report.pdf | Sample Report (Development): https://service.shl.com/docs/Sample Report- Customer Service Phone Simulation- Development Report.pdf | Interview Report: https://service.shl.com/docs/Sample Report- Customer Service Phone Simulation- Interview Report.pdf | Product fact sheet: https://service.shl.com/docs/Customer Service Phone Simulation_Fact Sheet.pdf
Customer Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/,Yes,No,30 minutes,"Biodata & Situational Judgement, Personality & Behavior, Simulations","As part of Contact Center Simulations, the Customer Service Phone Solution includes a contact center simulation and two behavioral tests designed to measure a wide range of skills, competencies, and behavioral tendencies relevant for contact center jobs. The Contact Center Simulation provides an opportunity for candidates to interact with simulated customers in a contact center environment. Designed to measure a candidate’s ability to listen attentively to the customer, take ownership of customer issues, resolve issues, navigate to find information, and enter information accurately, the Contact Center Simulation is intended to measure how a candidate will respond in a variety of customer situations and assess the candidate’s computer skills in a contact center setting. The behavioral tests in this solution are intended to measure the candidate’s learning potential and the tendency to meet goals and work hard, even when faced with obstacles. Collectively, the assessments in this solution measure a wide range of important skills, abilities, and behaviors for entry-level contact center roles.
""Please note that for Simplified Chinese version the audio is available in both Mandarin and Cantonese.""",Detailed Report: https://service.shl.com/docs/CustomerServicePhoneSolution_DetailedReport_UKE.pdf | Sample Report (Development): https://service.shl.com/docs/CustomerServicePhoneSolution_DevelopmentReport_UKE.pdf | Interview Report: https://service.shl.com/docs/CustomerServicePhoneSolution_InterviewReport_UKE.pdf | Sample Report (Development): https://service.shl.com/docs/Candidate DevelopmentReport_USE.pdf | Detailed Report: https://service.shl.com/docs/Customer Service Phone solution Detailed Report - Sample USE.pdf | Interview Report: https://service.shl.com/docs/Customer Service Phone solution Interview Report - Sample USE.pdf | Customer Service Phone Solution_FactSheet: https://service.shl.com/docs/CCSims Phone Agent Product Fact Sheet.pdf
Cyber Risk (New),https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/,Yes,No,9 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of cyber risk management, system and application security, network security and security management.",Product Fact Sheet: https://service.shl.com/docs/Cyber Risk (New).pdf
Data Entry (New),https://www.shl.com/solutions/products/product-catalog/view/data-entry-new/,Yes,No,4 minutes,Simulations,Simulated data entry test that measures the ability to accurately transcribe data from pre-filled forms and the ability to verify pre-filled data.,Product Fact Sheet: https://service.shl.com/docs/Data Entry (New).pdf
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,Yes,No,5 minutes,Knowledge & Skills,"The Data Entry Alphanumeric Split Screen - US assessment measures speed and accuracy at typing text and numbers into forms. The information includes business-related text and numbers such as invoice number, address, product number and amount. The test assesses for speed and accuracy.",Product Fact Sheet: https://service.shl.com/docs/Fact Sheet_Data_Entry_Alphanumeric_Split_Screen.pdf | Sample Report: https://service.shl.com/docs/Data Entry Alphanumeric Split Screen Sample Report.pdf
Data Entry Numeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/,Yes,No,5 minutes,Knowledge & Skills,"The Data Entry Numeric Split Screen - US assessment measures speed and accuracy at typing numbers into forms. The information candidates must enter includes business-related records including number fields such as customer number, order number, item number and quantity. Candidates may use either the keyboard's numeric keypad or the number keys at the top of the keyboard.",Product Fact Sheet: https://service.shl.com/docs/Fact Sheet_Data_Entry_Numeric_Split_Screen.pdf
Data Entry Ten Key Split Screen,https://www.shl.com/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/,Yes,No,3 minutes,Knowledge & Skills,Data Entry Ten Key Split Screen assessment measures ability to enter numbers using a numeric keypad. The test measures accuracy and speed.,Product Fact Sheet: https://service.shl.com/docs/Fact Sheet_Data_Entry_Ten_Key_Split_Screen.pdf
Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/data-science-new/,Yes,No,14 minutes,Knowledge & Skills,"Multi-choice test that measures the conceptual knowledge on how to use machine learning to analyze data, extract information, draw conclusions and make statistically-driven decisions.",Product Fact Sheet: https://service.shl.com/docs/Data Science (New).pdf
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,Yes,Yes,25 minutes,Knowledge & Skills,"The Data Warehousing Concepts test measures knowledge of Data Warehousing. Designed for experienced users, this test covers the following topics: Big Data and Data Warehouse Appliance, Business Considerations, Data Transformation, Data Warehousing and Data Marts, Design, Dimensional Data Model, On Line Analytical Processing (OLAP), Querying and Reporting/Data Extraction.",Product Fact Sheet: https://service.shl.com/docs/Fact Sheet_Data Warehousing Concepts.pdf
Dependability and Safety Instrument (DSI),https://www.shl.com/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi/,Yes,No,10 minutes,Personality & Behavior,"The DSI is a short pre-screening tool for many key entry-level roles. It is designed to identify potential employees who will have good dependability and reliability, and who are less likely to engage in counter-productive work behaviors.

Note: Turkish [end June 2012] and Romanian [end May 2013] are on limited beta relase",Product fact sheet: https://service.shl.com/docs/DSI_Fact Sheet.pdf
Dermatology (New),https://www.shl.com/solutions/products/product-catalog/view/dermatology-new/,Yes,No,3 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of various diseases related to skin, their symptoms, the drugs used to treat them, and different terminologies used in the field of dermatology.",Product Fact Sheet: https://service.shl.com/docs/Dermatology (New).pdf
Desktop Support (New),https://www.shl.com/solutions/products/product-catalog/view/desktop-support-new/,Yes,No,8 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of networking, peripheral components, operating systems, troubleshooting and providing technical support.",Product Fact Sheet: https://service.shl.com/docs/Desktop Support (New).pdf
Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,Yes,No,7 minutes,Knowledge & Skills,Multi-choice test that measures the candidate's knowledge about use of AdWords and tools to analyze ad performance on digital media.,Product Fact Sheet: https://service.shl.com/docs/Digital Advertising (New).pdf
Digital Readiness Development Report - IC,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report/,Yes,No,,Personality & Behavior,"This participant-oriented report is aimed at individual contributors (non-managerial) and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.

Note: this report is specifically aimed at Individual Contributors. A version designed for Managers is also available (see Digital Readiness Report - Managers).",Sample Report: https://service.shl.com/docs/Sample Report Digital readiness DR - Individual Contributor UKE.pdf | Sample Report: https://service.shl.com/docs/Sample Report Digital readiness DR - Individual Contributor LAS.pdf | Sample Report: https://service.shl.com/docs/Sample Report Digital readiness DR - Individual Contributor USE.pdf | Sample Report: https://service.shl.com/docs/Digital Readiness Development report(Individual Contributor)_PTBR.pdf
Digital Readiness Development Report - Manager,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report-manager/,Yes,No,,Personality & Behavior,"This participant-oriented report is aimed employees with management responsibilities and summarizes the way that they have described their typical style at work and is interpreted against SHL's Digital Readiness Framework. The report describes the way the person typically behaves, rather than their actual skill levels. It gives an indication of the individual's likely strengths in each area and makes suggestions for development activities, based upon the information gained from the
questionnaire.

Note: this report is specifically aimed at managers. A version designed for individual contributors is also available (see Digital Readiness Report - IC).",Sample Report: https://service.shl.com/docs/Sample Report Digital readiness DR - Manager UKE.pdf | Sample Report: https://service.shl.com/docs/Sample Report Digital readiness DR - Manager LAS.pdf | Sample Report: https://service.shl.com/docs/Sample Report Digital readiness DR - Manager USE.pdf
Docker (New),https://www.shl.com/solutions/products/product-catalog/view/docker-new/,Yes,No,10 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm.",Product Fact Sheet: https://service.shl.com/docs/Docker (New).pdf
Dojo (New),https://www.shl.com/solutions/products/product-catalog/view/dojo-new/,Yes,No,11 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries.",Product Fact Sheet: https://service.shl.com/docs/Dojo (New).pdf
Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,Yes,No,17 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security.",Product Fact Sheet: https://service.shl.com/docs/Drupal (New).pdf
DSI v1.1 Interpretation Report,https://www.shl.com/solutions/products/product-catalog/view/dsi-v1-1-interpretation-report/,Yes,No,,Personality & Behavior,DSI v1.1 Interpretation Report,Sample Report: https://service.shl.com/docs/DSI Interpretation Report v2 English International.pdf | Sample Report: https://service.shl.com/docs/DSI Interpretation Report v2 Spanish (North America).pdf | Sample Report: https://service.shl.com/docs/DSI Interpretation Report v2 English (US).pdf | Sample Report: https://service.shl.com/docs/DSI Interpretation Report v2 Chinese Traditional.pdf | Sample Report: https://service.shl.com/docs/DSI Interpretation Report v2 Chinese Simplified.pdf | Sample Report: https://service.shl.com/docs/DSI Interpretation Report v2 Danish.pdf | Sample Report: https://service.shl.com/docs/DSI Interpretation Report v2 Dutch.pdf | Sample Report: https://service.shl.com/docs/DSI Interpretation Report v2 Finnish.pdf | Sample Report: https://service.shl.com/docs/DSI Interpretation Report v2 French.pdf | Sample Report: https://service.shl.com/docs/DSI Interpretation Report v2 German.pdf | Sample Report: https://service.shl.com/docs/DSI Interpretation Report v2 Italian.pdf | Sample Report: https://service.shl.com/docs/DSI Interpretation Report v2 Norwegian.pdf | Sample Report: https://service.shl.com/docs/DSI Interpretation Report v2 Polish.pdf | Sample Report: https://service.shl.com/docs/DSI Interpretation Report v2 Romanian.pdf | Sample Report: https://service.shl.com/docs/DSI Interpretation Report v2 Russian.pdf | Sample Report: https://service.shl.com/docs/DSI Interpretation Report v2 Swedish.pdf | Sample Report: https://service.shl.com/docs/DSI Interpretation Report v2 Icelandic.pdf | Sample Report: https://service.shl.com/docs/DSI Interpretation Report v2 Portuguese (Brazil).pdf
Econometrics (New),https://www.shl.com/solutions/products/product-catalog/view/econometrics-new/,Yes,No,11 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data.",Product Fact Sheet: https://service.shl.com/docs/Econometrics (New).pdf
Economics (New),https://www.shl.com/solutions/products/product-catalog/view/economics-new/,Yes,No,13 minutes,Knowledge & Skills,"Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade.",Product Fact Sheet: https://service.shl.com/docs/Economics (New).pdf
Electrical and Electronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-and-electronics-engineering-new/,Yes,No,14 minutes,Knowledge & Skills,"Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics.",Product Fact Sheet: https://service.shl.com/docs/Electrical and Electronics Engineering (New).pdf | Sample Report: https://service.shl.com/docs/SHL Electrical and Electronics Engineering (New) Sample Report.pdf
Electrical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-engineering-new/,Yes,No,8 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic concepts of electronics.",Product Fact Sheet: https://service.shl.com/docs/Electrical Engineering (New).pdf | Sample Report: https://service.shl.com/docs/SHL Electrical Engineering (New) Sample Report.pdf
Electronics & Telecommunications Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,Yes,No,15 minutes,Knowledge & Skills,"Multi-choice test that measures the candidate’s knowledge and understanding on semiconductors and semiconductor devices, analog and digital electronics, communication, electromagnetism and microwave engineering.",Product Fact Sheet: https://service.shl.com/docs/Electronics and Telecommunications Engineering (New).pdf | Sample Report: https://service.shl.com/docs/SHL Electronics & Telecommunications Engineering (New) Sample Report.pdf
Electronics and Embedded Systems Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,Yes,No,18 minutes,Knowledge & Skills,"Multi-choice test that measures the candidate’s knowledge and understanding on concepts like embedded systems and, analog and digital electronics.",Product Fact Sheet: https://service.shl.com/docs/Electronics and Embedded Systems Engineering (New).pdf | Sample Report: https://service.shl.com/docs/SHL Electronics and Embedded Systems (new) Sample Report.pdf
Electronics and Semiconductor Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,Yes,No,7 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of VLSI.",Product Fact Sheet: https://service.shl.com/docs/Electronics and Semiconductor Engineering (New).pdf | Sample Report: https://service.shl.com/docs/SHL Electronics and Semiconductor (New) Sample Report.pdf
English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,Yes,No,0 minutes,Knowledge & Skills,"Multiple-choice test that measures vocabulary, grammar and reading comprehension skills.",Product Flyer: https://service.shl.com/docs/Language Assessment Flyer.pdf | Product Fact Sheet: https://service.shl.com/docs/English Comprehension (New).pdf
Enterprise Java Beans (New),https://www.shl.com/solutions/products/product-catalog/view/enterprise-java-beans-new/,Yes,No,4 minutes,Knowledge & Skills,"Multi-choice test that measures the knowledge of enterprise Java beans (EJB), types of EJB, transactions and concurrency.",Product Fact Sheet: https://service.shl.com/docs/Enterprise Java Beans (New).pdf
Enterprise Leadership Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/enterprise-leadership-report/,Yes,No,,Personality & Behavior,"Assess and benchmark your leaders against enterprise leadership - the model for leader impact to drive business results in a complex work environment.
For more information, visit: 
https://www.shl.com/en/solutions/identify-develop-leaders/enterprise-leadership/ .",Sample Report: https://service.shl.com/docs/Enterprise Leadership Report Std v1.0 English International.pdf | Sample Report: https://service.shl.com/docs/Enterprise Leadership Report Std v1.0 English (US).pdf | Sample Report: https://service.shl.com/docs/Enterprise Leadership Report Std v1.0 Arabic.pdf | Sample Report: https://service.shl.com/docs/Enterprise Leadership Report Std v1.0 Chinese Simplified.pdf | Sample Report: https://service.shl.com/docs/Enterprise Leadership Report Std v1.0 Dutch.pdf | Sample Report: https://service.shl.com/docs/Enterprise Leadership Report Std v1.0 French.pdf | Sample Report: https://service.shl.com/docs/Enterprise Leadership Report Std v1.0 German.pdf | Sample Report: https://service.shl.com/docs/Enterprise Leadership Report Std v1.0 Italian.pdf | Sample Report: https://service.shl.com/docs/OPQ32 Enterprise Leadership Sample Report (Brazilian Portuguese).pdf
